Comune;Provincia;Regione;Tipologia;Categoria;Denominazione;Indirizzo;CAP;Località;Frazione;Telefono;FAX;Indirizzo posta elettronica;Sito internet;Codice esercizio;Camere;Posti letto standard;Posti letto aggiuntivi;18;1]                                                                              ## 
VALLECROSIA;IMPERIA;Liguria;Alberghi;3STELLE;PICCOLO PARADISO;VIA MARCONI, 103;18019;VALLECROSIA;;0184 253402;0184 253402;albergopiccoloparadiso@gmail.com;http://www.albergopiccoloparadiso.com;19992852;10;20;0;13;1]                                                                                  ##
VALLECROSIA;IMPERIA;Liguria;Alberghi;3STELLE;RAPHAEL HOTEL;VIA ANGELI CUSTODI, 130;18019;VALLECROSIA;;0184 666502;0184 666502;info@citytouring.it;;IM453;13;25;0;12;1]                                                                                                                                   ##
VENTIMIGLIA;IMPERIA;Liguria;Alberghi;1STELLA;LA TRATTORIA DEI PANI;VIA ROMA, 16;18039;VENTIMIGLIA;;0184 351222;0184 351222;marcop56@hotmail.com;;IM264;9;17;4;19;1]                                                                                                                                      ##
VENTIMIGLIA;IMPERIA;Liguria;Alberghi;1STELLA;VARASE;FRAZIONE VARASE, 4;18039;VENTIMIGLIA;VARASE;0184 210177;0184 210177;albergovarase@alice.it;;IM262;9;13;0;18;1]                                                                                                                                       ##
VENTIMIGLIA;IMPERIA;Liguria;Alberghi;2STELLE;CALYPSO;VIA MATTEOTTI, 8;18039;VENTIMIGLIA;;0184 351588/352742;0184 197259;info@calypsohotel.it;http://www.calypsohotel.it;IM252;30;56;7;13;1]                                                                                                              ##
VENTIMIGLIA;IMPERIA;Liguria;Alberghi;2STELLE;GIUSEPPE - CASA MADRE;PIAZZA CESARE BATTISTI, 31/A;18039;VENTIMIGLIA;;0184 357969;0184 357969;info@hotel-giuseppe.com;http://www.hotel-giuseppe.com;200416;18;24;0;19;1]                                                                                    ##
VENTIMIGLIA;IMPERIA;Liguria;Alberghi;3STELLE;BRUNO;CORSO LIMONE PIEMONTE, 85;18039;VENTIMIGLIA;ROVERINO;0184 351137;0184 232534;hotelbruno@hotmail.it;;IM493;12;24;2;11;1]                                                                                                                               ##
VENTIMIGLIA;IMPERIA;Liguria;Alberghi;3STELLE;KALY;PASSEGGIATA LUNGOMARE TRENTO TRIESTE, 67;18039;VENTIMIGLIA;;0184 295218;0184 295218;info@hotelkaly.it;http://www.hotelkaly.it;IM244;28;59;6;15;1]                                                                                                      ##
VENTIMIGLIA;IMPERIA;Liguria;Alberghi;3STELLE;LA RISERVA DI CASTEL D'APPIO;LOCALITA' PEIDAIGO;18039;VENTIMIGLIA;CASTEL D'APPIO;0184 229533;0184 229712;info@lariserva.it;http://www.lariserva.it/;IM243;12;24;0;13;1]                                                                                     ##
VENTIMIGLIA;IMPERIA;Liguria;Alberghi;3STELLE;POSTA;VIA SOTTOCONVENTO, 15;18039;VENTIMIGLIA;;0184 351218;0184 231600;info@postahotel.net;http://www.postahotel.net;IM253;26;50;5;15;1]                                                                                                                    ##
VENTIMIGLIA;IMPERIA;Liguria;Alberghi;3STELLE;PROVENZA;VIA TACITO, 4;18039;VENTIMIGLIA;;0184 295295;0184 251165;info@hotelprovenza.it;http://www.hotelprovenza.it/;IM245;29;53;0;20;1]                                                                                                                    ##
VENTIMIGLIA;IMPERIA;Liguria;Alberghi;3STELLE;SEA GULL;PASSEGGIATA G. MARCONI, 24;18039;VENTIMIGLIA;;0184 351726;0184 231217;info@seagullhotel.it;http://www.seagullhotel.it/;IM246;27;49;2;11;1]                                                                                                         ##
VENTIMIGLIA;IMPERIA;Liguria;Alberghi;3STELLE;SOLE MARE;VIA MARCONI, 22;18039;VENTIMIGLIA;;0184 351854;0184 230988;info@hotelsolemare.it;http://www.hotelsolemare.it;IM247;26;49;0;17;1]                                                                                                                  ##
VENTIMIGLIA;IMPERIA;Liguria;Alberghi;3STELLE;VILLA EVA;VIA DEL RICOVERO;18039;LATTE;;0184 220044;0184 226900;info@villaevahotel.com;http://www.villaevahotel.it;20149661;48;89;4;11;1]                                                                                                                   ##
VENTIMIGLIA;IMPERIA;Liguria;Locande;2STELLE;PALLANCA;CORSO CUNEO, 10;18039;VENTIMIGLIA;;0184 31009;0184 31009;ristopallanca@gmail.com;;20116198;5;10;0;15;1]                                                                                                                                             ##
VENTIMIGLIA;IMPERIA;Liguria;Locande;3STELLE;BAIA BENIAMIN;CORSO EUROPA, 63;18039;VENTIMIGLIA;GRIMALDI INFERIORE;0184 38002;0184 38027;carlobrunelli@outlook.it;http://www.baiabeniamin.it;2002131;5;10;1;19;1]                                                                                           ##
VENTIMIGLIA;IMPERIA;Liguria;Locande;3STELLE;VILLA EVA BEACH;VIA ROMANA, 43;18039;VENTIMIGLIA;;0184 229996;0184 226830;info@villaevahotels.com;http://www.villaevahotels.it;20117449;4;8;1;14;1]                                                                                                          ##
VENTIMIGLIA;IMPERIA;Liguria;Residenze turistico alberghiere;3STELLE;GREEN PARK;VIA GALLARDI, 149;18039;VENTIMIGLIA;MANERA;0184 357101;0184 357102;info@residencegreenpark.it;http://www.residencegreenpark.it;IM1040;25;38;66;18;1]                                                                      ##
ALASSIO;SAVONA;Liguria;Alberghi;1STELLA;GROSSI;VIA MAZZINI 19;17021;ALASSIO;;0182/640880;0182/649700;albergogrossi.alassio@hotmail.it;;SV134;13;25;3;15;1]                                                                                                                                               ##
ALASSIO;SAVONA;Liguria;Alberghi;1STELLA;LUX;VICO DELLA CHIUSETTA 5;17021;ALASSIO;;0182/640722;0182/640722;info@hotelluxalassio.it;www.hotelluxalassio.it;SV140;11;20;2;15;1]                                                                                                                             ##
ALASSIO;SAVONA;Liguria;Alberghi;1STELLA;SAVOIA MEUBLE';VIA GRAMSCI 48;17021;;;0182/640277;0182/640125;info@hotelsavoia.it;www.hotelsavoia.it;SV145;11;23;8;20;1]                                                                                                                                         ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;ALLA FONTANELLA;VICO AL TIENNA 22;17021;ALASSIO;;0182/642281;0182/642396;contatti@hotelallafontanella.it;www.hotelallafontanella.it;SV123;14;24;1;15;1]                                                                                                          ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;AL SOGNO;VIA N. BONAPARTE 2;17021;ALASSIO;;0182/642112;0182/640068;claudiohotelalsogno@hotmail.it;www.hotelalsognoalassio.it;SV121;12;22;3;16;1]                                                                                                                 ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;AL SOLE;VIA SOLVA 84;17021;ALASSIO;;0182/640190;0182/640190;infoalsole@gmail.com;;SV69;14;21;0;12;1]                                                                                                                                                             ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;ANITA;CORSO L. DA VINCI 220;17021;ALASSIO;;0182/640707;0182/640707;info@albergoanita.it;www.hotelalassioanita.it;SV74;21;35;1;10;1]                                                                                                                              ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;FANNY;VICO CANTIERE 9;17021;ALASSIO;;0182/642506;0182/642118;info@hotelfanny.com;www.hotelfanny.com;SV86;18;32;6;18;1]                                                                                                                                           ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;FIORENZA;VIA PRIV. MARCONI 11;17021;ALASSIO;;0182/640925;0182/640925;fiorenza@alassio.it;;SV87;10;17;2;16;1]                                                                                                                                                     ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;GABBIANO;VIA LEONARDO DA VINCI 226;17021;ALASSIO;;0182/643241;0182/643241;info@hotelgabbianoalassio.it;www.hotelgabbianoalassio.it;SV128;11;19;0;12;1]                                                                                                           ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;LYDIA;VIA L. DA VINCI 87;17021;ALASSIO;;0182/641104;0182/641104;info@hotellydia.com;www.hotellydia.com;SV141;14;22;2;20;1]                                                                                                                                       ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;MIGNON;CORSO EUROPA 11;17021;ALASSIO;;0182/640776;0182/641219;info@hotelmignonalassio.com;www.hotelmignonalassio.com;SV99;16;31;3;19;1]                                                                                                                          ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;MILANESINA;VIA DIAZ 49;17021;ALASSIO;;0182/640757;0182/643565;info@hotelmilanesina.it;www.hotelmilanesina.it;SV95;15;29;4;14;1]                                                                                                                                  ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;MIMOSA;VIA DORIA 16;17021;ALASSIO;;0182/640767;0182/640767;francairaldi@vodafone.it;;SV100;14;27;3;11;1]                                                                                                                                                         ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;OLIMPIA;VIA CERRUTI 5;17021;ALASSIO;;0182/643014;0182/643014;info@hotelolimpialassio.com;www.hotelolimpialassio.com;SV103;16;28;8;17;1]                                                                                                                          ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;PRIMULA;VIALE SANT'ERASMO 4;17021;ALASSIO;;0182/640508;0182/640508;pri.mar@libero.it;www.hotelprimulaalassio.it;SV106;17;34;11;18;1]                                                                                                                             ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;RIO;VIA CARDELLINO 22;17021;ALASSIO;;0182/640072;0182/644720;info@hotelrioalassio.it;www.hotelrioalassio.it;SV109;19;36;1;12;1]                                                                                                                                  ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;SABRINA;VIA GARIBALDI 127;17021;ALASSIO;;0182/640804;0182/640804;info@hotelsabrinaalassio.com;www.hotelsabrinaalassio.com;SV111;21;27;0;20;1]                                                                                                                    ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;SAN GIORGIO;VIALE HANBURY 190/F;17021;ALASSIO;;0182/640111;0182/641444;info@sangiorgiohotel.org;www.sangiorgiohotel.org;SV112;17;28;2;14;1]                                                                                                                      ##
ALASSIO;SAVONA;Liguria;Alberghi;2STELLE;VILLA AMELIA;VIA SOLVA 59;17021;ALASSIO;;0182/640449;0182/640440;info@hotelvillaamelia.com;www.hotelvillaamelia.com;SV73;13;24;1;16;1]                                                                                                                           ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;ADLER;VIA PAOLO FERRERI 77;17021;ALASSIO;;0182/642966;0182/640255;info@hoteladleralassio.it;www.hoteladleralassio.it;SV6;85;163;21;10;1]                                                                                                                         ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;AIDA;VIA GIOIA, 25;17021;ALASSIO;;0182/644085;0182/640772;info@hotelaida.it;www.hotelaida.it;SV8;55;109;3;11;1]                                                                                                                                                  ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;ALFIERI;VIA L. DA VINCI 146;17021;ALASSIO;;0182/662882;0182/649329;info@hotelalfierialassio.it;www.alfierihotel.it;SV11;41;78;20;14;1]                                                                                                                           ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;AL MARE;VIA BOSELLI 24;17021;ALASSIO;;0182/472177;0182/640635;info@hotelnuovoalmare.it;www.hotelnuovoalmare.it;SV10;44;84;6;18;1]                                                                                                                                ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;BADANO SUL MARE;VIA GRAMSCI 36;17021;ALASSIO;;0182/640964;0182/640737;info@badano.com;www.badano.com;SV77;18;36;0;17;1]                                                                                                                                          ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;BAIA BLU;VIA DELL'ORO 4;17021;ALASSIO;;0182/648071;0182/600898;info@baiablualassio.it;www.baiablualassio.it;2000149;27;48;0;12;1]                                                                                                                                ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;BEAU RIVAGE;VIA ROMA 82;17021;ALASSIO;;0182/640585;0182/640426;info@hotelbeaurivage.it;www.hotelbeaurivage.it;SV17;22;42;12;14;1]                                                                                                                                ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;BEAU SEJOUR;VIA GARIBALDI, 102;17021;ALASSIO;;0182/640303;0182/646391;info@beausejourhotel.it;www.beausejourhotel.it;SV18;45;94;3;19;1]                                                                                                                          ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;BEL SIT;VIA BOSELLI 28;17021;ALASSIO;;0182/472060;0182/471825;info@belsithotel.it;www.belsithotel.it;SV19;43;87;6;14;1]                                                                                                                                          ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;BRISTOL;VIA PRIV. BOGLIOLO 25;17021;ALASSIO;;0182/646379;0182/646379;info@hotelbristolalassio.it;www.hotelbristolalassio.it;SV81;43;86;4;12;1]                                                                                                                   ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;CENTRALE CURTIS;CORSO EUROPA 26;17021;ALASSIO;;0182/642437;0182/642805;info@hotelcurtis.it;www.hotelcurtis.it;SV82;49;95;10;14;1]                                                                                                                                ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;CORSO;VIA A.DIAZ 28;17021;ALASSIO;;0182/642494;0182/642495;info@hotelcorso.it;www.hotelcorso.it;SV22;41;80;9;17;1]                                                                                                                                               ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;DANIO LUNGOMARE;VIA ROMA 23;17021;ALASSIO;;0182/640683;0182/640347;info@hoteldaniolungomare.it;www.hoteldaniolungomare.it;SV25;39;76;9;18;1]                                                                                                                     ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;DEI FIORI;VIALE MARCONI 78;17021;ALASSIO;;0182/640519;0182/644116;info@hoteldeifiori-alassio.it;www.hoteldeifiori-alassio.it;SV26;59;118;12;13;1]                                                                                                                ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;EDEN;PASSEGGIATA CADORNA 20;17021;ALASSIO;;0182/640281;0182/643037;eden@ivg.it;www.edendalassio.it;SV27;28;53;10;13;1]                                                                                                                                           ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;ENRICO;VIA DANTE 368;17021;ALASSIO;;0182/640000;0182/649427;info@hotelenrico.it;www.hotelenrico.it;SV28;31;61;6;20;1]                                                                                                                                            ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;EXPERIA;VIA PRIV. LOMBARDIA 19;17021;ALASSIO;;0182/642005;0182/642005;info@hotelexperia.com;www.hotelexperia.com;SV85;18;35;7;19;1]                                                                                                                              ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;FLORA;VIA DORIA 34;17021;ALASSIO;;0182/640336;0182/640338;info@florahotel.it;www.florahotel.it;SV31;33;69;11;10;1]                                                                                                                                               ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;GANDOLFO;PASSEGGIATA CADORNA, 32;17021;ALASSIO;;0182/640368 - 640878;0182/640368;info@hotelgandolfo.com;www.hotelgandolfo.com;SV90;37;65;3;18;1]                                                                                                                 ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;GARDEN;VIA PRIV. FERRO, 1;17021;ALASSIO;;0182/47.02.79;0182/64.42.58;info@hotelgarden-alassio.it;http://www.hotelgarden-alassio.it;SV33;90;165;2;13;1]                                                                                                           ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;LA BALNEARIA;VIA V. VENETO 105;17021;ALASSIO;;0182/640160;0182/646255;info@labalnearia.com;www.labalnearia.com;SV43;59;119;25;14;1]                                                                                                                              ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;LAMBERTI;VIA GRAMSCI, 57;17021;ALASSIO;;0182/642747;0182/642438;info@hotellamberti.it;www.hotellamberti.it;SV44;25;47;0;10;1]                                                                                                                                    ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;LIDO;VIA IV NOVEMBRE 9;17021;ALASSIO;;0182/640158;0182/660198;info@hotellidoalassio.it;;SV45;58;105;26;16;1]                                                                                                                                                     ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;MAJESTIC;VIA L. DA VINCI 300;17021;ALASSIO;;0182/642721;0182/643032;info@hmajestic.it;www.hmajestic.it;SV48;67;128;22;20;1]                                                                                                                                      ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;MILANO;PIAZZA AIRALDI DURANTE 11;17021;ALASSIO;;0182/640597;0182/640598;info@hotelmilanoalassio.com;www.milanohotel.info;SV51;30;60;4;16;1]                                                                                                                      ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;NUOVO HOTEL WEST END;VIA ROMA 42;17021;ALASSIO;;0182/642230;0182/644448;info@hotel-west-end.it;www.hotel-west-end.it;SV52;48;95;5;18;1]                                                                                                                          ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;NUOVO SUISSE;VIA MAZZINI 119;17021;ALASSIO;;0182/640192;0182/660267;info@suisse.it;www.suisse.it;SV53;49;92;6;19;1]                                                                                                                                              ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;ROSA;VIA M. CONTI 10;17021;ALASSIO;;0182/640821;0182/660028;info@hotelrosa.it;www.hotelrosa.it;SV60;52;105;7;10;1]                                                                                                                                               ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;SAN NICOLA;VIA SOLVA 71;17021;ALASSIO;;0182/642067;0182/641268;info@sannicolahotel.it;www.sannicolahotel.it;SV113;30;58;18;10;1]                                                                                                                                 ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;SAVOIA;VIA MILANO 14;17021;ALASSIO;;0182/640277;0182/640125;info@hotelsavoia.it;www.hotelsavoia.it;SV63;34;68;7;19;1]                                                                                                                                            ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;TIRRENO;PASSEGGIATA CADORNA 24;17021;ALASSIO;;0182/642474;0182/642195;info@hoteltirrenoalassio.it;www.hoteltirrenoalassio.it;SV65;51;89;15;13;1]                                                                                                                 ##
ALASSIO;SAVONA;Liguria;Alberghi;3STELLE;VILLA IGEA;VIA ROMA 56;17021;ALASSIO;;0182/640229;0182/640229;info@villaigeahotel.com;www.villaigeahotel.com;SV68;24;48;1;17;1]                                                                                                                                  ##
ALASSIO;SAVONA;Liguria;Alberghi;4STELLE;DIANA GRAND HOTEL;VIA GARIBALDI 110;17021;ALASSIO;;0182/642701;0182/640304;hotel@dianagh.it;www.dianagh.it;SV2;50;100;0;10;1]                                                                                                                                    ##
ALASSIO;SAVONA;Liguria;Alberghi;4STELLE;EUROPA E CONCORDIA;PIAZZA PARTIGIANI 36;17021;ALASSIO;;0182/643324;0182/471289;info@hoteleuropaeconcordia.it;www.hoteleuropaeconcordia.it;SV3;53;102;20;11;1]                                                                                                    ##
ALASSIO;SAVONA;Liguria;Alberghi;4STELLE;GRAND HOTEL MEDITERRANEE;VIA ROMA 63;17021;ALASSIO;;0182/642564;0182/470845;info@mediterraneehotel.it;www.hotelmediterraneealassio.it;SV4;96;189;10;13;1]                                                                                                        ##
ALASSIO;SAVONA;Liguria;Alberghi;4STELLE;GRAND HOTEL SPIAGGIA;VIA ROMA 78;17021;ALASSIO;;0182/643403;0182/640279;info@spiaggiahotel.it;www.spiaggiahotel.it;SV5;89;178;28;14;1]                                                                                                                           ##
ALASSIO;SAVONA;Liguria;Alberghi;4STELLE;LIGURE;PASSEGGIATA D. GROLLERO, 25;17021;ALASSIO;;0182/64.06.53;0182/66.00.41;info@ligurealassio.it;http://www.ligurealassio.it;SV46;49;98;18;18;1]                                                                                                              ##
ALASSIO;SAVONA;Liguria;Alberghi;4STELLE;REGINA;VIALE HAMBURY, 220;17021;ALASSIO;;0182/640215;0182/660092;info@reginahotel.it;www.reginahotel.it;SV58;42;81;12;16;1]                                                                                                                                      ##
ALASSIO;SAVONA;Liguria;Alberghi;4STELLE;TOSCANA;VIA F. GIOIA 4;17021;ALASSIO;;0182/640657;0182/643146;info@hoteltoscanaalassio.it;www.hoteltoscanaalassio.it;SV66;64;119;33;12;1]                                                                                                                        ##
ALASSIO;SAVONA;Liguria;Alberghi;5STELLE;GRAND HOTEL ALASSIO;VIA GRAMSCI 4;17021;ALASSIO;;0182/648778;0182/648682;info@ghalassio.com;www.ghalassio.com;20112;59;120;16;15;1]                                                                                                                              ##
ALASSIO;SAVONA;Liguria;Locande;2STELLE;KON TIKI;VIALE DELLE PALME 11;17021;ALASSIO;;0182/640928;0182/640635;locandakontiki@gmail.com;www.hotelkontiki-alassio.com;200868;3;6;1;15;1]                                                                                                                     ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;2STELLE;CONCHIGLIA;VIA S. ERASMO 14;17021;ALASSIO;;0182/642280;0182/642280;info@residenceconchiglia.com;www.residenceconchiglia.com;SVR99;7;11;17;18;1]                                                                                           ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;2STELLE;CRISTALLO;VIA DON PICCAGLI 12;17021;ALASSIO;;0182/660340;0182/642161;residencecristallo@gmail.com;;SVR20;10;18;18;15;1]                                                                                                                   ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;2STELLE;MEDUSA;VIA DANTE 175;17021;ALASSIO;;0182/640581;;info@residencemedusa.it;www.residencemedusa.it;2002193;11;12;12;19;1]                                                                                                                    ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;2STELLE;PERLA;VIA SOLVA 26;17021;ALASSIO;;0182/640035;0182/642280;info@residenceperla.com;www.residenceperla.com;2002201;12;15;23;14;1]                                                                                                           ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;2STELLE;PRINCIPI DI PIEMONTE;VIA GARIBALDI 135;17021;;;0182/646533;0182/646543;info@residenceprincipidipiemonte.it;www.residenceprincipidipiemonte.it;SVR12;16;24;32;12;1]                                                                        ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;2STELLE;SANTO DOMINGO;VICO SAN DOMENICO 4A;17021;ALASSIO;;0182/660412;;info@residencesantodomingo.it;www.residencesantodomingo.it;SVR22;9;14;11;12;1]                                                                                             ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;2STELLE;ZURIGO;VIA LEONARDO DA VINCI 214;17021;ALASSIO;;0182/471351;0182/471353;residencezurigo.alassio@libero.it;;SVR19;20;25;14;14;1]                                                                                                           ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;3STELLE;BARUSSO;VIA BELLINI 6;17021;ALASSIO;;0182/660213;0182/660214;info@residencebarusso.com;www.residencebarusso.com;SVR13;35;39;48;20;1]                                                                                                      ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;3STELLE;CORALLO;VIALE HANBURY 140;17021;ALASSIO;;0182/660461;0182/660461;info@residencecorallo.it;www.residencecorallo.it;SVR7;16;16;32;13;1]                                                                                                     ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;3STELLE;EUROPA UNITA;VIA MILITE IGNOTO 4;17021;ALASSIO;;0182/020012;0182/470240;info@residenceeuropaunita.it;www.residenceeuropaunita.it;SVR8;39;64;79;10;1]                                                                                      ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;3STELLE;LE TERRAZZE;PASSEGGIATA D. GROLLERO 49;17021;ALASSIO;;0182/60011;0182/60011;leterrazze@alassio.it;residence-leterrazze.it;SVR10;20;38;21;10;1]                                                                                            ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;3STELLE;MARINA;VIA LEONARDO DA VINCI 272;17021;ALASSIO;;0182/640828;0182/640828;info@residencemarina.com;www.residencemarina.com;SVR11;11;23;19;20;1]                                                                                             ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;3STELLE;PANAMA;VICO AIRALDI;17021;ALASSIO;;0182/645916;0182/645916;info@residencepanama.it;www.residencepanama.it;200780;11;20;14;12;1]                                                                                                           ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;3STELLE;RODI;VIALE HANBURY 146;17021;;;0182/644360;0182/640037;info@residencerodi.it;www.residencerodi.it;SVR14;18;25;24;10;1]                                                                                                                    ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;3STELLE;SAN MARCO;VIA DANTE 91;17021;ALASSIO;;0182/472196;0182/472196;info@sanmarcoresidencealassio.it;www.sanmarcoresidencealassio.it;SVR16;9;24;0;12;1]                                                                                         ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;3STELLE;SOLEMARE;PASSEGGIATA CADORNA 68;17021;;;0182/660283;0182/660284;info@residencesolemare.it;www.residencesolemare.it;SVR18;17;22;32;16;1]                                                                                                   ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;3STELLE;VILLA FIRENZE;VIA DANTE 35;17021;ALASSIO;;0182/66111;0182/661166;info@residencevillafirenze.it;www.residencevillafirenze.it;200261;22;33;25;17;1]                                                                                         ##
ALASSIO;SAVONA;Liguria;Residenze turistico alberghiere;4STELLE;ATLANTIC;VIA ROMA 52;17021;ALASSIO;;0182/660752;0182/641852;info@residenceatlantic.it;www.residenceatlantic.it;2009126;19;27;41;18;1]                                                                                                     ##
ALBENGA;SAVONA;Liguria;Alberghi;2STELLE;GIARDINO;VIALE MARTIRI LIBERTA' 114;17031;ALBENGA;;0182/50600;0182/570675;info@hotelgiardino.org;www.hotelgiardino.org;SV153;12;24;1;10;1]                                                                                                                       ##
ALBENGA;SAVONA;Liguria;Alberghi;2STELLE;GIARDINO - DIPENDENZA;VIA MONS.BELGRANO, 4;17031;ALBENGA;;0182/50.600;0182/570675;info@hotelgiardino.org;www.hotelgiardino.org;SV154;8;14;1;15;1]                                                                                                                ##
ALBENGA;SAVONA;Liguria;Alberghi;2STELLE;MAGNOLIA;VIA N. SAURO 90;17031;ALBENGA;;0182/574246;0182/544756;lucia.volpiano@libero.it;;SV152;17;30;0;11;1]                                                                                                                                                    ##
ALBENGA;SAVONA;Liguria;Alberghi;2STELLE;PESCETTO;VIA DALMAZIA, 8;17031;ALBENGA;;0182/50747;0182/50747;info@hotelpescetto.it;www.hotelpescetto.it;SV162;12;21;1;12;1]                                                                                                                                     ##
ALBENGA;SAVONA;Liguria;Alberghi;2STELLE;TORINO;VIALE ITALIA 25;17031;ALBENGA;;0182/50844;0182/50844;info@albergoristorantetorino.it;www.albergoristorantetorino.it;SV163;13;25;0;12;1]                                                                                                                   ##
ALBENGA;SAVONA;Liguria;Alberghi;2STELLE;VILLA ROSA;LUNGOMARE COLOMBO 1;17031;ALBENGA;;0182/50529;0182/544029;villarosaalbenga@libero.it;;SV164;18;32;0;13;1]                                                                                                                                             ##
ALBENGA;SAVONA;Liguria;Alberghi;3STELLE;CA' DI BERTA;VIA CA' DI BERTA;17031;ALBENGA;SALEA;0182/559930;0182/559888;info@hotelcadiberta.it;www.hotelcadiberta.it;SV859;10;20;5;15;1]                                                                                                                       ##
ALBENGA;SAVONA;Liguria;Alberghi;3STELLE;MARISA;VIA PISA, 28;17031;ALBENGA;;0182/50241;0182/555122;info@marisahotel.com;www.marisahotel.com;SV150;15;28;2;18;1]                                                                                                                                           ##
ALBENGA;SAVONA;Liguria;Alberghi;3STELLE;SOLE MARE;LUNGOMARE COLOMBO 15;17031;ALBENGA;;0182/51817;0182/545212;hotelsolemare@tiscali.it;www.albergosolemare.it;SV151;24;46;2;18;1]                                                                                                                         ##
ALBENGA;SAVONA;Liguria;Residenze turistico alberghiere;2STELLE;RIVIERA;REGIONE VADINO 7;17031;ALBENGA;;0182/50211;0182/543104;residenceriviera@tiscali.it;;SVR2;24;32;26;20;1]                                                                                                                           ##
ALBENGA;SAVONA;Liguria;Residenze turistico alberghiere;3STELLE;AURORA;VIA PATRIOTI 165;17031;ALBENGA;;0182/541297;0182/57434;info@residenceaurora.it;http://www.residenceaurora.it;SVR23;20;34;29;12;1]                                                                                                  ##
ALBISOLA MARINA;SAVONA;Liguria;Alberghi;1STELLA;BELVEDERE;VIA BELVEDERE 5;17012;ALBISSOLA MARINA;;019/480620;019/480620;info@belvederealbissola.it;www.belvederealbissola.it;SV181;11;18;0;10;1]                                                                                                         ##
